Year,Country of origin,Country of origin (ISO),Continent of Origin,Life Expectancy (Year) - O ,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,% Crop Production to '14-16 - A,Country of asylum,Population - A,Gov Education Budget (% of) - A,Life Expectancy (Year) - A,% Male (Pop) - Difference,% <$1.90 a day - A,GDP LCU (T) Difference,Distance (KM),Decisions % - O,Decisions Per 100k
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.61,Argentina,36870796,0.16,73.58,1,0.07,0.11,"11,934",0,0.06
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.85,Australia,19153000,0.13,79.23,0.98,0,0.05,"15,341",0,0.87
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.85,Australia,19153000,0.13,79.23,0.98,0,2.68,"15,341",0,0.08
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.01,Austria,8011566,0.11,78.13,1,0,0.19,818,0,0.76
2000,Czechia,CZE,Europe,74.97,0.11,8.9,1.01,Austria,8011566,0.11,78.13,1,0,11.07,818,0,0.1
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.97,Belgium,10251250,0,77.72,1,0,0.16,"1,698",0,0.24
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.97,Belgium,10251250,0,77.72,0.99,0,9.42,"1,698",0,0.05
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.69,Canada,30685730,0.13,79.14,0.98,0,0.04,"7,371",0,10.43
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.69,Canada,30685730,0.13,79.14,0.98,0,2.32,"7,371",0,6.55
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.92,Czechia,10255063,0.09,74.97,1,0,0.02,"1,065",0,1.73
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.92,Denmark,5339616,0.15,76.59,0.98,0,0.03,"1,637",0,0.15
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.09,Finland,5176209,0.12,77.47,1,0,0.3,"1,946",0,0.32
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.02,France,60912500,0,79.06,1,0,0.03,"1,758",0,1.58
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.99,United Kingdom of Great Britain and Northern Ireland,58892514,0.12,77.74,1,0,0.04,"2,015",0,0.24
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.99,United Kingdom of Great Britain and Northern Ireland,58892514,0.12,77.74,1,0,2.05,"2,015",0,0.2
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.01,Germany,82211508,0,77.93,1,0,0.02,"1,319",0,0.15
2000,Czechia,CZE,Europe,74.97,0.11,8.9,1.01,Germany,82211508,0,77.93,1,0,1.22,"1,319",0,0.21
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.97,Ireland,3805174,0.14,76.54,0.98,0,21.76,"2,474",0,0.05
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.16,Italy,56942108,0.09,79.78,1.01,0.01,0.03,895,0,0.22
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.51,Morocco,28793672,0,68.68,0.98,0.06,0.12,"2,784",0,0.11
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.51,Morocco,28793672,0,68.68,0.98,0.06,6.78,"2,784",0,0.14
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.97,Netherlands,15925513,0.11,77.99,0.98,0,0.09,"1,745",0,1.22
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.97,Netherlands,15925513,0.11,77.99,0.98,0,5.35,"1,745",0,1.33
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.95,Norway,4490967,0.16,78.63,0.98,0,0.02,"2,096",0,0.15
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.78,New Zealand,3857700,0,78.64,0.99,0,18.19,"17,662",0,0.05
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.61,Peru,26459944,0.15,71.11,0.98,0.16,0.24,"11,754",0,0.11
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.61,Peru,26459944,0.15,71.11,0.98,0.16,13.98,"11,754",0,0.05
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.9,South Africa,44967713,0,56.05,0.99,0.35,0.02,"7,627",0,2.7
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.95,Spain,40567864,0.11,78.97,0.99,0.01,0.06,"2,253",0,0.06
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.73,Slovakia,5388720,0.07,73.05,1,0,1.24,776,0,0.1
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.76,Eswatini,1005432,0.19,47.49,1.01,0.49,2.22,"7,716",0,0.06
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.92,Sweden,8872109,0.13,79.64,0.99,0,0.02,"1,884",0,8.05
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.92,Sweden,8872109,0.13,79.64,0.98,0,1.01,"1,884",0,0.27
2000,Bulgaria,BGR,Europe,71.66,0.14,9,1.22,Switzerland,7184250,0.14,79.68,1,0,0.1,"1,336",0,0.77
2000,Czechia,CZE,Europe,74.97,0.11,8.9,1.22,Switzerland,7184250,0.14,79.68,1,0,6.07,"1,336",0,0.4
2000,Bulgaria,BGR,Europe,71.66,0.14,9,0.79,United States of America,282162411,0,76.64,0.99,0.01,0,"4,464",0,15.29
2000,Czechia,CZE,Europe,74.97,0.11,8.9,0.79,United States of America,282162411,0,76.64,0.99,0.01,0.23,"4,464",0,0.14
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.64,Argentina,37275644,0.16,73.76,1,0.11,0.12,"11,934",0,0.06
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.86,Australia,19413000,0,79.63,0.98,0.01,0.05,"15,341",0,0.56
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.86,Australia,19413000,0,79.63,0.98,0.01,2.71,"15,341",0,0.13
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,1.05,Austria,8042293,0.11,78.58,1,0,0.2,818,0,0.27
2001,Czechia,CZE,Europe,75.17,0.11,8.9,1.05,Austria,8042293,0.11,78.58,1,0,11.27,818,0,0.07
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.85,Belgium,10286570,0,77.97,0.99,0,0.17,"1,698",0,0.27
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.85,Belgium,10286570,0,77.97,0.99,0,9.6,"1,698",0,0.41
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.57,Canada,31020902,0.12,79.34,0.98,0,0.04,"7,371",0,12.97
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.57,Canada,31020902,0.12,79.34,0.98,0,2.36,"7,371",0,7.21
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.96,Czechia,10216605,0.09,75.17,1,0,0.02,"1,065",0,2.45
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.89,Denmark,5358783,0.16,76.79,0.98,0,0.03,"1,637",0,0.14
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,1.01,Finland,5188008,0.13,77.97,1,0,0.31,"1,946",0,0.26
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.94,France,61357432,0,79.16,1,0,0.03,"1,758",0,1.31
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.94,France,61357432,0,79.16,1,0,1.7,"1,758",0,0.39
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.87,United Kingdom of Great Britain and Northern Ireland,59119673,0.12,77.99,1,0,0.04,"2,015",0,0.12
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.87,United Kingdom of Great Britain and Northern Ireland,59119673,0.12,77.99,1,0,2.07,"2,015",0,0.24
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,1.01,Germany,82349925,0,78.33,1,0,0.02,"1,319",0,0.31
2001,Czechia,CZE,Europe,75.17,0.11,8.9,1.01,Germany,82349925,0,78.33,1,0,1.23,"1,319",0,0.14
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,1.07,Greece,10862132,0.07,78.39,0.98,0,0.29,526,0,0.91
2001,Czechia,CZE,Europe,75.17,0.11,8.9,1.07,Greece,10862132,0.07,78.39,0.98,0,16.93,526,0,2.27
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.98,Ireland,3866243,0.13,77.13,0.98,0,0.37,"2,474",0,0.27
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.98,Ireland,3866243,0.13,77.13,0.98,0,21.29,"2,474",0,0.3
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,1.13,Italy,56974100,0.1,80.13,1.01,0,0.03,895,0,0.12
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.58,Morocco,29126323,0,69.19,0.98,0,0.11,"2,784",0,0.11
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.58,Morocco,29126323,0,69.19,0.98,0,6.51,"2,784",0,0.14
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.88,Netherlands,16046180,0.11,78.19,0.98,0,0.09,"1,745",0,1.17
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.88,Netherlands,16046180,0.11,78.19,0.98,0,5.39,"1,745",0,1.08
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.95,Norway,4513751,0.16,78.79,0.98,0,0.02,"2,096",0,0.14
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.6,Peru,26799289,0.15,71.51,0.98,0.17,0.25,"11,754",0,0.09
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.6,Peru,26799289,0.15,71.51,0.98,0.17,14.31,"11,754",0,0.05
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.82,South Africa,45571272,0.2,55.09,0.99,0,0.02,"7,627",0,2.97
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.94,Spain,40850412,0.11,79.37,0.99,0,0.06,"2,253",0,0.06
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.88,Slovakia,5378867,0.09,73.4,1,0,1.24,776,0,0.1
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.77,Eswatini,1013608,0.2,45.8,1.01,0,2.28,"7,716",0,0.06
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.89,Sweden,8895960,0.13,79.8,0.98,0,0.02,"1,884",0,2.43
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.89,Sweden,8895960,0.13,79.8,0.98,0,1.03,"1,884",0,0.07
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.99,Switzerland,7229854,0.15,80.18,1,0,0.11,"1,336",0,1.61
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.99,Switzerland,7229854,0.15,80.18,1,0,6.16,"1,336",0,0.76
2001,Bulgaria,BGR,Europe,71.77,0.14,8.5,0.76,United States of America,284968955,0,76.84,0.99,0.01,0,"4,464",0,16.51
2001,Czechia,CZE,Europe,75.17,0.11,8.9,0.76,United States of America,284968955,0,76.84,0.99,0.01,0.23,"4,464",0,0.32
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.66,Argentina,37681743,0.16,73.93,1,0.17,0.14,"11,934",0,0.06
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.88,Australia,19651400,0,79.94,0.98,0,0.05,"15,341",0,0.37
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.88,Australia,19651400,0,79.94,0.98,0,2.64,"15,341",0,0.05
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,1.04,Austria,8081957,0.11,78.68,1,0,0.2,818,0,0.06
2002,Czechia,CZE,Europe,75.22,0.11,9.1,1.04,Austria,8081957,0.11,78.68,1,0,11.26,818,0,0.05
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.94,Belgium,10332785,0,78.08,0.99,0,0.17,"1,698",0,0.24
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.94,Belgium,10332785,0,78.08,0.99,0,9.59,"1,698",0,0.34
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.5,Canada,31360079,0.12,79.49,0.98,0,0.04,"7,371",0,14.56
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.5,Canada,31360079,0.12,79.49,0.98,0,2.31,"7,371",0,7.62
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,1.78,Cyprus,976968,0.15,78.26,0.96,0,3.91,"1,205",0,0.06
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.81,Czechia,10196916,0.09,75.22,1,0,0.02,"1,065",0,1.21
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.85,Denmark,5375931,0.15,76.9,0.98,0,0.03,"1,637",0,0.14
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,1.06,Finland,5200598,0.13,78.12,1,0,0.32,"1,946",0,0.1
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,1.03,France,61805266,0,79.26,1,0,0.03,"1,758",0,1.12
2002,Czechia,CZE,Europe,75.22,0.11,9.1,1.03,France,61805266,0,79.26,1,0,1.71,"1,758",0,0.35
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.98,United Kingdom of Great Britain and Northern Ireland,59370479,0.13,78.14,1,0,0.04,"2,015",0,0.13
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.98,United Kingdom of Great Britain and Northern Ireland,59370479,0.13,78.14,1,0,2.06,"2,015",0,0.83
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.92,Germany,82488495,0,78.23,1,0,0.02,"1,319",0,14.58
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.92,Germany,82488495,0,78.23,1,0,1.25,"1,319",0,58.27
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.93,Ireland,3931947,0.12,77.63,0.98,0,0.37,"2,474",0,0.51
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.93,Ireland,3931947,0.12,77.63,0.98,0,20.42,"2,474",0,0.78
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.64,Morocco,29454765,0,69.77,0.98,0,0.12,"2,784",0,0.11
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.64,Morocco,29454765,0,69.77,0.98,0,6.41,"2,784",0,0.14
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.91,Netherlands,16148929,0.11,78.29,0.98,0,0.1,"1,745",0,0.77
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.91,Netherlands,16148929,0.11,78.29,0.98,0,5.46,"1,745",0,0.63
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.92,Norway,4538159,0.16,78.99,0.98,0,0.02,"2,096",0,0.1
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.75,New Zealand,3948500,0.17,78.85,0.99,0,17.58,"17,662",0,0.05
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.64,Peru,27100964,0.15,71.88,0.98,0.15,0.25,"11,754",0,0.09
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.64,Peru,27100964,0.15,71.88,0.98,0.15,13.79,"11,754",0,0.05
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.9,South Africa,46150913,0.2,54.31,0.99,0,0.02,"7,627",0,2.07
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.92,Spain,41431558,0.11,79.57,0.99,0,0.06,"2,253",0,0.06
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.88,Slovakia,5376912,0.09,73.6,1,0,1.26,776,0,0.24
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.84,Eswatini,1019054,0.17,44.41,1.02,0,2.31,"7,716",0,0.06
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.89,Sweden,8924958,0.13,79.85,0.98,0,0.02,"1,884",0,3.53
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.89,Sweden,8924958,0.13,79.85,0.98,0,1.02,"1,884",0,0.23
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,1.07,Switzerland,7284753,0.15,80.39,1,0,0.11,"1,336",0,1.52
2002,Czechia,CZE,Europe,75.22,0.11,9.1,1.07,Switzerland,7284753,0.15,80.39,1,0,6.25,"1,336",0,0.34
2002,Bulgaria,BGR,Europe,71.87,0.14,8.5,0.74,United States of America,287625193,0,76.94,0.99,0.01,0,"4,464",0,16.82
2002,Czechia,CZE,Europe,75.22,0.11,9.1,0.74,United States of America,287625193,0,76.94,0.99,0.01,0.23,"4,464",0,0.57
2003,Bulgaria,BGR,Europe,72.07,0.14,8.7,0.68,Argentina,38087866,0.14,74.11,1,0.08,0.14,"11,934",0,0.06
2003,Bulgaria,BGR,Europe,72.07,0.14,8.7,0.6,Australia,19895400,0,80.24,0.98,0.01,0.05,"15,341",0,0.22
2003,Czechia,CZE,Europe,75.17,0.11,9.2,0.6,Australia,19895400,0,80.24,0.98,0.01,2.65,"15,341",0,0.05
2003,Bulgaria,BGR,Europe,72.07,0.14,8.7,0.98,Austria,8121423,0.11,78.63,1,0,0.21,818,0,0.06
